date,pm25,temp_mean,humidity_mean,wind_speed_mean,precip_mm,traffic_volume,weekday,is_weekend,traffic_level
2023-01-07,5.355729125,3.4,,9.8,0.0,913,5,True,low
2023-01-08,5.494270875,0.8,,8.1,0.2,12987,6,True,high
2023-01-09,9.529444466666666,3.2,,9.4,0.3,15315,0,False,high
2023-01-10,10.5046875,2.7,,11.1,0.7,454,1,False,low
2023-01-14,4.040104125,1.1,,10.4,0.0,9767,5,True,low
2023-02-04,3.738020875,-8.0,,12.8,0.0,862,5,True,low
2023-02-05,9.2625,3.5,,11.9,0.0,75,6,True,low
2023-02-27,6.768229125,3.9,,11.5,9.7,4412,0,False,low
2023-02-28,6.397916625,2.2,,16.3,6.6,4846,1,False,low
2023-03-05,5.100520875,7.4,,7.7,0.3,159,6,True,low
2023-03-06,4.808333375,8.2,,8.8,0.0,1915,0,False,low
2023-03-07,3.253676411764706,4.8,,8.3,3.3,341,1,False,low
2023-03-08,2.8671875,4.4,,7.9,0.0,826,2,False,low
2023-03-09,3.79784875,6.0,,8.7,0.5,415,3,False,low
2023-03-13,6.019852941176471,4.9,,22.5,14.6,4968,0,False,low
2023-03-14,2.439062375,2.1,,39.1,9.4,5721,1,False,low
2023-03-15,2.172395875,2.9,,37.0,0.0,1415,2,False,low
2023-03-16,6.443888933333333,5.3,,18.3,0.0,7321,3,False,low
2023-03-17,17.9802085,8.5,,11.8,0.1,8570,4,False,low
2023-03-18,7.165624875,9.4,,10.8,0.3,6179,5,True,low
2023-03-19,3.673039294117647,2.9,,13.8,0.0,2459,6,True,low
2023-03-20,9.694270875,5.0,,12.0,0.0,6647,0,False,low
2023-03-21,10.405729125,9.9,,12.5,0.0,5500,1,False,low
2023-03-22,7.461388866666667,10.3,,7.9,0.0,8005,2,False,low
2023-03-23,19.748958375,11.1,,9.2,1.0,5596,3,False,low
2023-03-24,7.7515625,9.7,,6.4,0.0,5460,4,False,low
2023-03-25,5.573039235294117,6.7,,23.9,4.1,5081,5,True,low
2023-03-26,6.60833325,11.3,,15.1,0.0,2734,6,True,low
2023-03-27,5.795561625,10.3,,10.8,5.1,5256,0,False,low
2023-03-28,5.081944466666667,8.4,,7.7,0.3,23728,1,False,high
2023-03-29,5.853509875,8.1,,10.8,0.2,127859,2,False,high
2023-03-30,4.00677075,5.2,,8.4,0.0,42213,3,False,high
2023-04-04,12.22604175,14.8,,7.2,0.0,8454,1,False,low
2023-04-05,9.736979125,10.6,,19.6,0.1,23984,2,False,high
2023-04-18,4.162745058823529,11.3,,26.1,0.1,58340,1,False,high
2023-04-19,5.91979175,10.7,,17.4,0.0,21611,2,False,high
2023-04-20,7.675520875,11.5,,13.1,0.0,51898,3,False,high
2023-04-23,4.600520875,15.0,,8.8,25.1,21063,6,True,high
2023-04-24,4.8598958125,12.1,,6.7,0.0,19866,0,False,high
2023-04-25,6.7828125,12.1,,6.2,0.0,57356,1,False,high
2023-04-26,8.527355125,12.0,,11.3,0.2,131392,2,False,high
2023-04-27,10.2238095,11.8,,7.0,2.4,121799,3,False,high
2023-04-29,4.97708325,10.9,,24.3,32.0,3451,5,True,low
2023-04-30,3.411519588235294,13.2,,18.7,41.3,1184,6,True,low
2023-05-01,3.627083333333333,13.2,,19.5,1.4,2191,0,False,low
2023-05-02,3.02291675,11.3,,17.1,3.0,4119,1,False,low
2023-05-03,3.039285714285714,11.0,,11.6,0.0,5682,2,False,low
2023-05-04,5.954166625,10.7,,10.2,0.5,8517,3,False,low
2023-05-05,6.90260425,13.0,,8.8,0.0,34618,4,False,high
2023-05-06,5.481862764705882,15.8,,7.0,0.0,63968,5,True,high
2023-05-07,5.826562625,18.6,,7.7,0.0,55082,6,True,high
2023-05-08,4.968229125,20.2,,6.5,0.3,68064,0,False,high
2023-05-09,4.984615461538462,16.5,,12.5,0.0,45675,1,False,high
2023-05-10,7.547894,16.2,,8.9,0.0,35105,2,False,high
2023-05-11,13.674999875,19.8,,9.7,0.0,57382,3,False,high
2023-05-12,15.593627529411766,23.0,,9.6,0.0,69643,4,False,high
2023-05-13,13.26875,22.9,,6.0,0.0,60809,5,True,high
2023-05-14,7.7484375,19.7,,12.1,0.0,61591,6,True,high
2023-05-15,5.603869,18.1,,13.0,0.0,560,0,False,low
2023-05-16,8.394270875,20.2,,16.2,0.0,2221,1,False,low
2023-05-17,5.35364575,16.9,,10.3,0.0,0,2,False,low
2023-05-18,4.371813705882353,12.5,,13.3,0.0,0,3,False,low
2023-05-22,16.056770750000002,18.3,,10.2,0.0,24816,0,False,high
2023-05-23,9.458854125,15.9,,12.8,0.0,17356,1,False,high
2023-05-24,7.87475494117647,17.3,,8.9,1.8,2475,2,False,low
2023-05-25,3.73385425,16.0,,13.0,0.0,16515,3,False,high
2023-05-26,4.659375,18.2,,8.2,0.0,42558,4,False,high
2023-05-27,6.236011857142857,19.4,,8.0,0.0,19348,5,True,high
2023-05-28,5.999999875,19.5,,7.3,0.0,18175,6,True,high
2023-05-29,10.464583375,19.8,,14.2,0.0,27205,0,False,high
2023-05-30,10.7153645625,16.8,,15.0,1.0,3304,1,False,low
