date,traffic_volume
2023-01-07,913
2023-01-08,12987
2023-01-09,15315
2023-01-10,454
2023-01-14,9767
2023-02-04,862
2023-02-05,75
2023-02-27,4412
2023-02-28,4846
2023-03-05,159
2023-03-06,1915
2023-03-07,341
2023-03-08,826
2023-03-09,415
2023-03-13,4968
2023-03-14,5721
2023-03-15,1415
2023-03-16,7321
2023-03-17,8570
2023-03-18,6179
2023-03-19,2459
2023-03-20,6647
2023-03-21,5500
2023-03-22,8005
2023-03-23,5596
2023-03-24,5460
2023-03-25,5081
2023-03-26,2734
2023-03-27,5256
2023-03-28,23728
2023-03-29,127859
2023-03-30,42213
2023-04-04,8454
2023-04-05,23984
2023-04-18,58340
2023-04-19,21611
2023-04-20,51898
2023-04-23,21063
2023-04-24,19866
2023-04-25,57356
2023-04-26,131392
2023-04-27,121799
2023-04-29,3451
2023-04-30,1184
2023-05-01,2191
2023-05-02,4119
2023-05-03,5682
2023-05-04,8517
2023-05-05,34618
2023-05-06,63968
2023-05-07,55082
2023-05-08,68064
2023-05-09,45675
2023-05-10,35105
2023-05-11,57382
2023-05-12,69643
2023-05-13,60809
2023-05-14,61591
2023-05-15,560
2023-05-16,2221
2023-05-17,0
2023-05-18,0
2023-05-22,24816
2023-05-23,17356
2023-05-24,2475
2023-05-25,16515
2023-05-26,42558
2023-05-27,19348
2023-05-28,18175
2023-05-29,27205
2023-05-30,3304
2023-05-31,17843
2023-06-01,3491
2023-06-02,6501
2023-06-03,12478
2023-06-04,11137
2023-06-05,17459
2023-06-06,17157
2023-06-07,493
2023-06-08,9215
2023-06-09,11048
2023-06-10,82822
2023-06-11,88863
2023-06-12,55992
2023-06-13,28794
2023-06-14,142427
2023-06-15,121146
2023-06-16,87187
2023-06-17,76679
2023-06-18,187218
2023-06-19,39815
2023-06-20,6671
2023-06-21,27147
2023-06-22,27494
2023-06-23,9246
2023-06-24,28149
2023-06-25,28872
2023-06-26,15880
2023-06-27,40737
2023-06-28,9345
2023-06-29,7354
2023-06-30,49255
2023-07-01,70630
2023-07-02,91903
2023-07-30,6649
2023-07-31,2797
2023-08-02,4290
2023-08-03,12132
2023-08-04,750
2023-08-05,21336
2023-08-06,2017
2023-08-07,2814
2023-08-08,195
2023-08-09,2615
2023-08-10,1352
2023-08-11,5950
2023-08-12,4922
2023-09-08,510
2023-09-09,3927
2023-09-10,2878
2023-09-11,78
2023-09-18,6359
2023-09-19,9907
2023-09-20,6390
2023-09-21,3941
2023-09-22,3462
2023-10-01,238
2023-10-02,12507
2023-10-03,5747
2023-10-04,10046
2023-10-05,10235
2023-10-06,7733
2023-10-08,596
2023-10-09,10791
2023-10-10,9679
2023-10-15,4231
2023-10-16,14321
2023-10-17,129809
2023-10-18,56076
2023-10-19,119588
2023-10-20,37329
2023-10-21,72646
2023-10-22,28396
2023-10-23,31817
2023-10-24,92500
2023-10-25,63285
2023-10-26,36217
2023-10-27,38708
2023-10-28,22672
2023-10-29,15376
2023-10-30,19160
2023-10-31,23959
2023-11-01,9222
2023-11-02,45626
2023-11-03,36383
2023-11-04,17210
2023-11-05,30726
2023-11-06,3086
2023-11-14,12345
2023-11-15,20326
2023-11-16,2242
2023-12-02,19860
2023-12-03,6248
2023-12-04,5518
2023-12-05,9482
2023-12-06,9291
2023-12-07,12276
2023-12-08,9851
2023-12-09,907
2023-12-10,2676
