date,temp_mean,humidity_mean,wind_speed_mean,precip_mm
2023-01-01,8.1,,9.4,0.0
2023-01-02,7.5,,7.4,1.3
2023-01-03,10.2,,5.7,11.4
2023-01-04,13.0,,10.4,0.5
2023-01-05,10.9,,11.5,0.0
2023-01-06,5.9,,8.2,7.9
2023-01-07,3.4,,9.8,0.0
2023-01-08,0.8,,8.1,0.2
2023-01-09,3.2,,9.4,0.3
2023-01-10,2.7,,11.1,0.7
2023-01-11,0.9,,13.7,0.0
2023-01-12,6.4,,14.7,5.3
2023-01-13,8.7,,8.0,2.8
2023-01-14,1.1,,10.4,0.0
2023-01-15,0.7,,9.9,0.0
2023-01-16,1.3,,6.3,0.2
2023-01-17,2.5,,7.5,2.5
2023-01-18,6.4,,8.0,0.5
2023-01-19,4.3,,12.2,24.1
2023-01-20,5.7,,10.4,0.0
2023-01-21,2.5,,9.2,0.1
2023-01-22,2.2,,11.9,12.7
2023-01-23,2.8,,9.0,7.4
2023-01-24,1.9,,11.2,0.0
2023-01-25,3.1,,13.7,24.1
2023-01-26,6.8,,23.4,9.7
2023-01-27,1.8,,14.6,0.5
2023-01-28,5.7,,12.8,0.7
2023-01-29,8.1,,8.7,0.0
2023-01-30,8.2,,7.6,0.0
2023-01-31,4.0,,10.1,1.5
2023-02-01,1.3,,12.7,0.5
2023-02-02,1.8,,14.7,0.2
2023-02-03,-3.2,,11.3,0.5
2023-02-04,-8.0,,12.8,0.0
2023-02-05,3.5,,11.9,0.0
2023-02-06,6.7,,9.0,0.4
2023-02-07,3.1,,12.0,0.3
2023-02-08,7.8,,9.0,0.0
2023-02-09,7.9,,5.9,0.0
2023-02-10,12.8,,12.0,0.0
2023-02-11,6.0,,9.4,0.0
2023-02-12,5.1,,9.5,3.0
2023-02-13,9.0,,13.6,0.0
2023-02-14,8.9,,6.3,0.0
2023-02-15,12.2,,11.2,0.4
2023-02-16,13.4,,7.8,1.5
2023-02-17,9.8,,9.3,3.8
2023-02-18,2.6,,11.7,0.2
2023-02-19,5.6,,11.3,0.0
2023-02-20,10.3,,10.9,0.0
2023-02-21,6.1,,11.8,5.3
2023-02-22,4.7,,9.3,4.8
2023-02-23,4.8,,15.8,0.3
2023-02-24,5.1,,8.4,0.0
2023-02-25,-1.5,,8.4,0.0
2023-02-26,3.8,,13.3,1.0
2023-02-27,3.9,,11.5,9.7
2023-02-28,2.2,,16.3,6.6
2023-03-01,4.6,,12.8,2.1
2023-03-02,6.9,,10.2,0.0
2023-03-03,5.0,,13.1,6.4
2023-03-04,6.0,,15.5,31.5
2023-03-05,7.4,,7.7,0.3
2023-03-06,8.2,,8.8,0.0
2023-03-07,4.8,,8.3,3.3
2023-03-08,4.4,,7.9,0.0
2023-03-09,6.0,,8.7,0.5
2023-03-10,5.2,,11.3,8.1
2023-03-11,4.9,,11.5,8.4
2023-03-12,4.8,,9.5,0.0
2023-03-13,4.9,,22.5,14.6
2023-03-14,2.1,,39.1,9.4
2023-03-15,2.9,,37.0,0.0
2023-03-16,5.3,,18.3,0.0
2023-03-17,8.5,,11.8,0.1
2023-03-18,9.4,,10.8,0.3
2023-03-19,2.9,,13.8,0.0
2023-03-20,5.0,,12.0,0.0
2023-03-21,9.9,,12.5,0.0
2023-03-22,10.3,,7.9,0.0
2023-03-23,11.1,,9.2,1.0
2023-03-24,9.7,,6.4,0.0
2023-03-25,6.7,,23.9,4.1
2023-03-26,11.3,,15.1,0.0
2023-03-27,10.3,,10.8,5.1
2023-03-28,8.4,,7.7,0.3
2023-03-29,8.1,,10.8,0.2
2023-03-30,5.2,,8.4,0.0
2023-03-31,7.8,,10.2,0.0
2023-04-01,15.1,,12.3,6.6
2023-04-02,9.1,,6.6,0.0
2023-04-03,9.1,,14.2,0.0
2023-04-04,14.8,,7.2,0.0
2023-04-05,10.6,,19.6,0.1
2023-04-06,15.6,,9.0,0.0
2023-04-07,12.2,,6.9,0.7
2023-04-08,7.2,,10.2,0.0
2023-04-09,7.9,,12.6,0.0
2023-04-10,11.0,,9.5,0.0
2023-04-11,15.9,,15.5,0.0
